repeat,state,mean_plddt,min_plddt,max_plddt,residues
71,unrelaxed,94.94344473007712,63.13,98.89,389
72,unrelaxed,95.0128791773779,63.38,98.89,389
73,unrelaxed,94.4603856041131,64.27,98.88,389
74,unrelaxed,94.32195372750643,36.91,98.88,389
75,unrelaxed,94.73285347043702,63.04,98.88,389
76,unrelaxed,94.7074293059126,64.59,98.89,389
77,unrelaxed,94.65179948586119,63.6,98.89,389
78,unrelaxed,94.43874035989717,63.84,98.88,389
79,unrelaxed,94.9141645244216,64.33,98.89,389
80,unrelaxed,94.83277634961439,64.13,98.88,389
81,unrelaxed,94.56239074550128,63.75,98.87,389
82,unrelaxed,94.97182519280206,63.96,98.89,389
83,unrelaxed,94.75552699228793,63.24,98.89,389
84,unrelaxed,94.85794344473007,63.23,98.89,389
85,unrelaxed,94.99329048843188,63.4,98.88,389
86,unrelaxed,94.58372750642674,63.8,98.89,389
87,unrelaxed,94.79120822622107,63.76,98.88,389
88,unrelaxed,94.78452442159383,63.96,98.87,389
89,unrelaxed,95.02069408740361,63.39,98.89,389
90,unrelaxed,94.51303341902313,64.35,98.88,389
91,unrelaxed,94.92323907455012,63.06,98.88,389
92,unrelaxed,94.93172236503857,63.33,98.88,389
93,unrelaxed,94.81002570694088,63.15,98.88,389
94,unrelaxed,94.74259640102828,63.19,98.88,389
95,unrelaxed,94.73863753213368,64.47,98.89,389
96,unrelaxed,94.57699228791773,64.26,98.88,389
97,unrelaxed,95.03519280205656,63.59,98.89,389
98,unrelaxed,94.71874035989717,49.67,98.87,389
99,unrelaxed,94.51974293059126,64.33,98.88,389
100,unrelaxed,94.70588688946015,61.79,98.87,389
